ダウンロードした時刻：2019/10/25 23:21:06

,福岡,福岡,福岡,東京,東京,東京
年月日,平均海面気圧(hPa),平均海面気圧(hPa),平均海面気圧(hPa),平均海面気圧(hPa),平均海面気圧(hPa),平均海面気圧(hPa)
,,品質情報,均質番号,,品質情報,均質番号
2018/9/30,999.8,8,1,1005.0,8,1
2018/10/1,1010.2,8,1,994.2,8,1
2018/10/2,1016.5,8,1,1012.5,8,1
2018/10/3,1019.8,8,1,1020.0,8,1
2018/10/4,1020.1,8,1,1026.2,8,1
2018/10/5,1012.2,8,1,1025.8,8,1
2018/10/6,1005.7,8,1,1015.3,8,1
2018/10/7,1014.5,8,1,1008.0,8,1
2018/10/8,1016.0,8,1,1014.6,8,1
2018/10/9,1014.9,8,1,1015.6,8,1
2018/10/10,1015.2,8,1,1015.6,8,1
2018/10/11,1020.1,8,1,1013.5,8,1
2018/10/12,1023.2,8,1,1016.8,8,1
2018/10/13,1022.5,8,1,1023.5,8,1
2018/10/14,1020.9,8,1,1020.9,8,1
2018/10/15,1018.6,8,1,1018.7,8,1
2018/10/16,1014.3,8,1,1013.7,8,1
2018/10/17,1013.9,8,1,1011.4,8,1
2018/10/18,1016.0,8,1,1016.5,8,1
2018/10/19,1020.5,8,1,1018.1,8,1
2018/10/20,1023.2,8,1,1017.7,8,1
2018/10/21,1022.0,8,1,1020.5,8,1
2018/10/22,1020.0,8,1,1023.5,8,1
2018/10/23,1017.7,8,1,1022.0,8,1
2018/10/24,1018.6,8,1,1015.1,8,1
2018/10/25,1019.6,8,1,1018.2,8,1
2018/10/26,1014.4,8,1,1020.1,8,1
2018/10/27,1015.4,8,1,1007.9,8,1
2018/10/28,1014.5,8,1,1009.2,8,1
2018/10/29,1014.7,8,1,1008.9,8,1
2018/10/30,1019.2,8,1,1010.7,8,1
2018/10/31,1021.4,8,1,1013.7,8,1
2018/11/1,1023.7,8,1,1018.9,8,1
2018/11/2,1026.2,8,1,1024.7,8,1
2018/11/3,1024.1,8,1,1025.3,8,1
2018/11/4,1020.9,8,1,1022.6,8,1
2018/11/5,1021.3,8,1,1021.5,8,1
2018/11/6,1022.9,8,1,1020.6,8,1
2018/11/7,1022.3,8,1,1023.1,8,1
2018/11/8,1017.4,8,1,1024.1,8,1
2018/11/9,1019.1,8,1,1019.8,8,1
2018/11/10,1023.9,8,1,1017.3,8,1
2018/11/11,1021.3,8,1,1019.9,8,1
2018/11/12,1015.9,8,1,1014.4,8,1
2018/11/13,1015.7,8,1,1013.1,8,1
2018/11/14,1020.7,8,1,1016.0,8,1
2018/11/15,1023.7,8,1,1022.4,8,1
2018/11/16,1020.6,8,1,1021.7,8,1
2018/11/17,1019.4,8,1,1016.5,8,1
2018/11/18,1018.9,8,1,1018.5,8,1
2018/11/19,1019.5,8,1,1014.0,8,1
2018/11/20,1023.6,8,1,1019.1,8,1
2018/11/21,1021.7,8,1,1021.3,8,1
2018/11/22,1021.0,8,1,1011.6,8,1
2018/11/23,1027.0,8,1,1019.0,8,1
2018/11/24,1025.6,8,1,1025.5,8,1
2018/11/25,1023.6,8,1,1022.9,8,1
2018/11/26,1023.8,8,1,1023.2,8,1
2018/11/27,1021.9,8,1,1020.7,8,1
2018/11/28,1019.8,8,1,1016.6,8,1
2018/11/29,1024.0,8,1,1018.4,8,1
2018/11/30,1025.2,8,1,1021.3,8,1
2018/12/1,1025.1,8,1,1020.8,8,1
2018/12/2,1023.5,8,1,1029.7,8,1
2018/12/3,1018.8,8,1,1024.9,8,1
2018/12/4,1015.1,8,1,1014.0,8,1
2018/12/5,1021.4,8,1,1017.3,8,1
2018/12/6,1017.8,8,1,1017.2,8,1
2018/12/7,1025.0,8,1,1010.5,8,1
2018/12/8,1029.6,8,1,1015.4,8,1
2018/12/9,1031.4,8,1,1022.3,8,1
2018/12/10,1029.7,8,1,1028.3,8,1
2018/12/11,1023.1,8,1,1028.9,8,1
